"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","0","2","7","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","758","132","2","1","3","261","4","1,161","210","COUNTY TRANSFER - OUT","337","47","1","0","0","57","16","458"
"DESIGNATED STATE AGENCIES","5","6","0","0","0","6","0","17","3","CRIMINAL CONVICTION","27","2","0","0","0","8","1","38"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","5","DEATH NOTICE","15","0","0","0","0","1","0","16"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","3","20","DUPLICATE","33","3","0","0","0","3","1","40"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","1","6","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","15","1","0","0","0","1","0","17","10","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,547","151","5","2","7","506","5","2,223","272","MOVED OUT OF STATE","180","28","1","0","0","26","10","245"
"NVRA BY MAIL","1","1","0","0","0","1","0","3","0","OTHER","10","0","0","0","0","18","0","28"
"OTHER MEANS","42","6","0","0","0","10","0","58","184","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","1","0","2"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","1","0","3","0","","","","","","","","",""
"TOTAL","2,374","300","7","3","10","786","9","3,489","717","TOTAL","603","80","2","0","0","114","28","827"
