"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","157","100","0","0","0","56","1","314","0","COUNTY TRANSFER - OUT","137","88","2","0","2","49","4","282"
"DESIGNATED STATE AGENCIES","7","3","0","0","0","1","0","11","3","CRIMINAL CONVICTION","10","1","0","0","0","1","0","12"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","41","27","0","0","0","4","0","72"
"FROM ANOTHER BOARD","1","3","1","0","0","1","0","6","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","11","7","0","0","0","2","0","20"
"IN PERSON","0","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","162","167","3","1","4","147","4","488","18","MOVED OUT OF STATE","35","42","0","0","0","18","1","96"
"NVRA BY MAIL","7","8","0","0","0","5","0","20","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","1","0","0","0","0","0","2","7","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","27","18","0","0","0","10","0","55"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","335","283","4","1","4","210","5","842","28","TOTAL","261","184","2","0","2","84","5","538"
