"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","274","103","0","0","23","7","407","252","BOARD ACTION","2","0","0","0","5","0","7"
"","BY MAIL","1237","477","3","6","399","37","2,159","474","CONFIRMATION MAIL","9","2","0","0","4","0","15"
"","DESIGNATED STATE AGENCIES","99","24","0","1","27","2","153","126","COUNTY TRANSFER - OUT","6,093","2,131","45","100","2,389","95","10,853"
"","ELDERLY / DISABLED","59","11","0","0","3","0","73","13","CRIMINAL CONVICTION","12","3","0","0","5","0","20"
"","FROM ANOTHER BOARD","48","26","0","0","17","0","91","79","DEATH NOTICE","2,266","990","2","4","358","46","3,666"
"","PROVISIONAL BALLOT","1","0","0","0","1","0","2","1","DUPLICATE","92","31","3","0","22","2","150"
"","IN PERSON","262","133","0","0","49","3","447","59","MAIL VERIFICATION (NVRA)","7","3","0","0","1","1","12"
"","MOTOR VEHICLE ADMINISTRATION","11565","4732","77","194","5554","129","22,251","1,408","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","NVRA BY MAIL","324","189","2","4","136","8","663","102","MOVED OUT OF STATE","1,369","769","12","17","532","24","2,723"
"","ONLINE REGISTRATION","7937","2982","22","77","1573","57","12,648","303","OTHER","130","38","1","3","68","3","243"
"","OTHER MEANS","446","143","3","2","128","5","727","646","VOTER REQUEST","11","6","0","2","8","1","28"
"","RECRUITING","1","1","0","0","59","0","61","2","","","","","","","","0"
"","SOCIAL SERVICES","54","15","0","1","33","0","103","48","","","","","","","",""
"","VOLUNTEER","458","120","2","3","126","3","712","0","","","","","","","",""
"","TOTAL","22,765","8,956","109","288","8,128","251","40,497","3,513","TOTAL","9,991","3,973","63","126","3,392","172","17,717"
