"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","1","2","0","3","7","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","835","344","1","6","11","387","14","1,598","514","CONFIRMATION MAIL","106","23","0","0","0","26","0","155"
"DESIGNATED STATE AGENCIES","19","14","0","0","0","6","0","39","2","COUNTY TRANSFER - OUT","2,504","1,131","0","18","41","972","39","4,705"
"ELDERLY / DISABLED","76","26","0","0","4","37","1","144","12","CRIMINAL CONVICTION","114","16","0","1","0","30","2","163"
"FROM ANOTHER BOARD","15","11","0","1","0","11","1","39","10","DEATH NOTICE","297","140","0","1","0","36","1","475"
"PROVISIONAL BALLOT","1","0","0","0","0","1","0","2","5","DUPLICATE","1","1","0","1","0","1","1","5"
"IN PERSON","15","9","0","0","0","6","0","30","23","MAIL VERIFICATION (NVRA)","5,002","1,494","0","31","44","1,587","231","8,389"
"MOTOR VEHICLE ADMINISTRATION","5909","2363","3","39","143","3144","34","11,635","11,436","MENTAL INCOMPETENCY","1","1","0","0","0","0","0","2"
"NVRA BY MAIL","38","15","1","0","0","28","0","82","5","MOVED OUT OF STATE","561","397","0","6","8","263","10","1,245"
"ONLINE REGISTRATION","254","118","1","4","18","164","3","562","113","OTHER","217","55","0","1","1","94","3","371"
"OTHER MEANS","124","105","0","1","2","96","2","330","558","VOTER REQUEST","6","3","0","0","0","5","1","15"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","","0"
"SOCIAL SERVICES","48","8","0","0","0","30","0","86","17","","","","","","","","",""
"VOLUNTEER","13","6","0","0","0","8","0","27","0","","","","","","","","",""
"TOTAL","7,347","3,019","6","51","179","3,920","55","14,577","12,702","TOTAL","8,809","3,261","0","59","94","3,014","288","15,525"
