"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","142","44","0","0","12","4","202","257","BOARD ACTION","3","2","0","0","4","0","9"
"BY MAIL","478","187","0","3","115","6","789","104","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"DESIGNATED STATE AGENCIES","174","22","1","3","78","2","280","99","COUNTY TRANSFER - OUT","3,511","895","18","27","597","30","5,078"
"ELDERLY / DISABLED / SOC SEC","1212","169","12","12","364","20","1,789","12","CRIMINAL CONVICTION","57","8","0","1","7","1","74"
"ERIC REPORT","5","0","0","0","1","0","6","0","DEATH NOTICE","1,400","623","3","6","239","19","2,290"
"FROM ANOTHER BOARD","7","9","0","0","4","0","20","5","DUPLICATE","118","36","0","2","35","3","194"
"PROVISIONAL BALLOT","1422","263","3","5","123","7","1,823","253","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","1"
"IN PERSON","177","58","0","1","29","2","267","18","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1791","628","15","38","927","34","3,433","275","MOVED OUT OF STATE","371","261","2","4","151","7","796"
"NVRA BY MAIL","30","13","0","0","17","0","60","15","OTHER","41","10","0","1","10","1","63"
"ONLINE REGISTRATION","2040","524","14","27","570","18","3,193","274","VOTER REQUEST","11","8","0","0","4","0","23"
"OTHER MEANS","132","25","3","1","35","1","197","124","","","","","","","",""
"RECRUITING","1","0","0","0","0","0","1","0","","","","","","","",""
"SAME DAY REGISTRATION","720","138","2","2","63","2","927","1","","","","","","","",""
"SOCIAL SERVICES","3","0","0","0","3","0","6","5","","","","","","","",""
"VOLUNTEER","336","33","1","2","92","2","466","0","","","","","","","",""
"TOTAL","8,670","2,113","51","94","2,433","98","13,459","1,442","TOTAL","5,513","1,843","23","41","1,047","61","8,528"
