"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","2","0","0","0","0","0","6","17","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","1549","611","0","9","19","668","23","2,879","616","CONFIRMATION MAIL","10","4","0","0","0","5","0","19"
"DESIGNATED STATE AGENCIES","50","21","0","1","0","33","0","105","11","COUNTY TRANSFER - OUT","3,793","1,498","1","26","41","1,441","49","6,849"
"ELDERLY / DISABLED","4","0","0","0","0","0","0","4","3","CRIMINAL CONVICTION","11","5","0","0","0","10","0","26"
"FROM ANOTHER BOARD","24","26","0","0","0","8","3","61","26","DEATH NOTICE","1,008","489","0","1","2","115","9","1,624"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","12","DUPLICATE","31","18","0","0","0","7","1","57"
"IN PERSON","15","13","0","0","0","9","0","37","9","MAIL VERIFICATION (NVRA)","3,229","1,140","2","23","39","1,250","106","5,789"
"MOTOR VEHICLE ADMINISTRATION","6075","2264","2","46","107","3257","57","11,808","1,743","MENTAL INCOMPETENCY","0","3","0","0","0","0","0","3"
"NVRA BY MAIL","32","22","0","0","1","17","3","75","8","MOVED OUT OF STATE","514","421","1","6","7","279","5","1,233"
"ONLINE REGISTRATION","332","195","0","1","13","172","5","718","28","OTHER","58","27","0","1","0","33","1","120"
"OTHER MEANS","86","50","0","0","2","44","2","184","799","VOTER REQUEST","6","7","0","0","0","5","0","18"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","","0"
"SOCIAL SERVICES","40","11","0","0","0","21","0","72","30","","","","","","","","",""
"VOLUNTEER","2","2","0","0","0","1","0","5","0","","","","","","","","",""
"TOTAL","8,214","3,217","2","57","142","4,230","93","15,955","3,302","TOTAL","8,660","3,612","4","57","89","3,145","171","15,738"
