"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","0","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","3","3","0","0","2","0","5","0","13","9","COUNTY TRANSFER - OUT","31","21","0","0","0","0","8","0","60"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","6","3","0","0","0","0","2","0","11"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","57","35","0","0","1","0","8","3","104"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","0","3","1","DUPLICATE","3","0","0","0","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","0","0","1","0","3","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","55","35","2","1","16","2","25","1","137","37","MOVED OUT OF STATE","6","8","0","0","0","0","0","0","14"
"NVRA BY MAIL","2","1","0","0","1","0","0","0","4","1","OTHER","1","0","0","0","1","0","0","0","2"
"OTHER MEANS","1","2","0","0","2","0","2","0","7","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","99","62","1","0","4","0","46","2","214"
"SOCIAL SERVICES","2","0","0","0","0","0","0","0","2","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","66","44","2","1","21","2","33","1","170","52","TOTAL","204","129","1","0","6","0","64","5","409"
