"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","2","0","BOARD ACTION","1","0","0","0","0","0","1","0","2"
"BY MAIL","163","51","0","0","23","4","66","1","308","28","COUNTY TRANSFER - OUT","168","54","1","0","3","0","71","1","298"
"DESIGNATED STATE AGENCIES","1","3","0","0","0","0","1","0","5","0","CRIMINAL CONVICTION","1","1","0","0","0","0","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","9","3","0","0","0","0","3","0","15"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","2","0","DUPLICATE","19","9","0","0","0","0","7","0","35"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","2","0","3"
"IN PERSON","1","0","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","618","167","4","1","126","7","322","4","1,249","182","MOVED OUT OF STATE","213","82","4","0","5","1","93","2","400"
"NVRA BY MAIL","6","0","0","0","1","0","2","0","9","1","OTHER","3","2","1","0","2","0","1","0","9"
"OTHER MEANS","10","3","0","0","1","0","2","0","16","12","VOTER REQUEST","2","1","0","0","2","0","3","0","8"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","368","141","3","0","4","3","172","2","693"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","10","1","0","0","1","0","7","0","19","0","","","","","","","","","",""
"TOTAL","811","225","4","1","152","11","402","5","1,611","223","TOTAL","785","293","9","0","16","4","354","5","1,466"
