"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","91","78","2","0","20","3","42","1","237","17","COUNTY TRANSFER - OUT","145","88","0","0","5","2","62","0","302"
"DESIGNATED STATE AGENCIES","9","1","0","0","0","0","8","0","18","0","CRIMINAL CONVICTION","22","5","1","0","1","0","7","0","36"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","0","1","0","DEATH NOTICE","0","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","6","6","0","0","0","0","3","0","15","0","DUPLICATE","3","3","0","0","0","0","6","0","12"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","1","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","322","207","3","0","91","7","170","2","802","159","MOVED OUT OF STATE","11","5","1","0","0","0","4","0","21"
"NVRA BY MAIL","7","9","0","0","3","0","5","0","24","2","OTHER","3","0","0","0","2","0","0","0","5"
"OTHER MEANS","6","2","0","0","1","1","1","0","11","6","VOTER REQUEST","0","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","72","52","0","0","5","1","26","0","156"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"TOTAL","442","305","5","0","116","11","230","3","1,112","185","TOTAL","256","153","2","0","13","3","106","0","533"
