"","","","","","","","","","","","","","","",""
"","NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","2","0","0","1","0","3","3","BOARD ACTION","0","0","0","0","0","0"
"","BY MAIL","621","272","0","304","29","1,226","182","CONFIRMATION MAIL","5,583","3,293","0","3,235","237","12,348"
"","DESIGNATED STATE AGENCIES","182","47","0","167","18","414","124","COUNTY TRANSFER - OUT","3,152","1,085","0","1,199","92","5,528"
"","ELDERLY / DISABLED / SOC SEC","122","37","0","349","6","514","11","CRIMINAL CONVICTION","136","26","0","47","6","215"
"","ERIC REPORT","1","1","0","0","0","2","4","DEATH NOTICE","1,897","915","0","309","39","3,160"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","DUPLICATE","141","20","0","21","3","185"
"","PROVISIONAL BALLOT","5","0","0","2","0","7","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0"
"","IN PERSON","20","4","0","4","0","28","5","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","6391","2405","1","3449","160","12,406","365","MOVED OUT OF STATE","656","531","0","317","28","1,532"
"","NVRA BY MAIL","17","3","0","5","1","26","9","OTHER","40","8","0","18","3","69"
"","ONLINE REGISTRATION","277","73","1","118","9","478","8","VOTER REQUEST","7","1","0","2","2","12"
"","OTHER MEANS","52","31","0","17","2","102","117","","","","","","",""
"","RECRUITING","1","0","0","0","0","0","0","","","","","","",""
"","SOCIAL SERVICES","1","1","0","3","0","5","0","","","","","","",""
"","VOLUNTEER","6","4","0","4","0","14","0","","","","","","",""
"","TOTAL","7,698","2,878","2","4,423","225","15,225","831","TOTAL","11,612","5,879","0","5,148","410","23,049"
