"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","13","6","0","0","3","1","23","0","BOARD ACTION","0","1","0","0","0","0","1"
"BY MAIL","482","273","2","10","273","15","1,055","98","CONFIRMATION MAIL","12","15","0","1","11","0","39"
"DESIGNATED STATE AGENCIES","7","3","0","0","2","1","13","0","COUNTY TRANSFER - OUT","4,776","2,149","30","49","1,812","79","8,895"
"ELDERLY / DISABLED","2","0","0","0","1","0","3","1","CRIMINAL CONVICTION","7","4","0","0","5","0","16"
"FROM ANOTHER BOARD","3","4","0","0","1","0","8","5","DEATH NOTICE","697","286","1","0","63","18","1,065"
"PROVISIONAL BALLOT","3953","1776","24","37","1326","55","7,171","2,105","DUPLICATE","18","5","0","0","7","0","30"
"IN PERSON","89","38","0","1","27","1","156","510","MAIL VERIFICATION (NVRA)","13","6","0","0","2","2","23"
"MOTOR VEHICLE ADMINISTRATION","3413","2040","31","85","2410","24","8,003","575","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","98","36","1","0","35","3","173","9","MOVED OUT OF STATE","255","176","2","3","117","4","557"
"ONLINE REGISTRATION","238","217","7","11","150","9","632","14","OTHER","23","11","1","0","14","0","49"
"OTHER MEANS","58","20","0","0","11","1","90","372","VOTER REQUEST","5","9","0","1","8","0","23"
"RECRUITING","1","1","0","0","0","0","2","0","","","","","","","","0"
"SOCIAL SERVICES","31","5","1","1","15","0","53","14","","","","","","","",""
"VOLUNTEER","4","0","0","0","2","0","6","0","","","","","","","",""
"TOTAL","8,392","4,419","66","145","4,256","110","17,388","3,703","TOTAL","5,806","2,662","34","54","2,039","103","10,698"
