"NEW REGISTRATION BY PARTY
REMOVALS
Harford","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","27","33","0","0","2","0","12","9","83","0","COUNTY TRANSFER - OUT","298","290","6","1","2","0","153","1","751"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","154","80","0","0","0","0","16","0","250"
"FROM ANOTHER BOARD","212","146","0","0","2","0","98","9","467","0","DUPLICATE","2","3","0","0","0","0","0","0","5"
"PROVISIONAL BALLOT","9","0","0","0","0","0","2","0","11","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","8","0","0","1","0","1","1","18","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","227","189","1","0","4","0","146","2","569","0","MOVED OUT OF STATE","56","81","0","0","0","0","34","0","171"
"NVRA BY MAIL","6","7","0","0","0","0","3","0","16","0","OTHER","2","0","0","0","0","0","0","0","2"
"OTHER MEANS","2","3","1","0","0","0","3","0","9","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","48","48","0","0","1","0","22","0","119"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","490","387","2","0","9","0","265","21","1,174","0","TOTAL","560","502","6","1","3","0","225","1","1,298"
