"NEW REGISTRATION BY PARTY
REMOVALS
Queen Anne's","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","4","11","0","0","0","0","9","0","24","0","COUNTY TRANSFER - OUT","77","120","0","0","2","0","45","1","245"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","12","16","1","0","1","0","6","0","36","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","19","24","0","0","0","0","14","0","57","0","MOVED OUT OF STATE","3","5","0","0","0","0","0","0","8"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","35","52","1","0","1","0","29","0","118","0","TOTAL","80","125","0","0","2","0","45","1","253"
