"NEW REGISTRATION BY PARTY
REMOVALS
Howard","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","0","0","2","1","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","38","19","1","0","0","0","9","4","71","11","COUNTY TRANSFER - OUT","662","417","7","0","4","0","353","12","1,455"
"DESIGNATED STATE AGENCIES","5","1","0","0","0","0","1","0","7","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","8","0","0","0","0","1","0","16"
"FROM ANOTHER BOARD","197","162","2","0","1","0","95","3","460","149","DUPLICATE","3","7","0","0","0","0","3","0","13"
"PROVISIONAL BALLOT","12","2","0","0","0","0","5","0","19","4","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","18","5","0","0","0","0","4","0","27","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","308","154","2","2","8","0","250","8","732","70","MOVED OUT OF STATE","85","80","2","0","0","0","53","3","223"
"NVRA BY MAIL","9","5","0","0","0","0","6","0","20","1","OTHER","4","0","0","0","0","0","20","0","24"
"OTHER MEANS","5","3","0","0","0","0","3","0","11","3","VOTER REQUEST","2","0","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","61","27","1","0","0","0","27","4","120"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","594","351","5","2","9","0","373","15","1,349","243","TOTAL","825","539","10","0","4","0","457","19","1,854"
