"NEW REGISTRATION BY PARTY
REMOVALS
Talbot","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","2","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","2","10","0","0","0","0","2","1","15","3","COUNTY TRANSFER - OUT","29","41","1","0","0","0","15","1","87"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","1","0","1","2","CRIMINAL CONVICTION","1","0","0","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","13","0","0","0","0","5","1","36"
"FROM ANOTHER BOARD","26","43","0","0","1","0","22","0","92","27","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","10","6","1","0","0","0","3","0","20","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","0","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","37","25","1","0","0","0","9","1","73","24","MOVED OUT OF STATE","9","15","0","0","0","0","7","0","31"
"NVRA BY MAIL","0","0","0","0","0","0","0","1","1","0","OTHER","9","8","0","0","0","0","2","0","19"
"OTHER MEANS","1","1","0","0","0","0","0","0","2","8","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","4","8","0","0","0","0","4","0","16"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","77","85","2","0","1","0","37","3","205","68","TOTAL","69","85","1","0","0","0","34","2","191"
