"NEW REGISTRATION BY PARTY
REMOVALS
St. Mary's","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","3","0","0","0","0","0","0","3","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","7","6","0","0","0","0","4","0","17","0","COUNTY TRANSFER - OUT","21","15","0","0","0","0","7","1","44"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","6","CRIMINAL CONVICTION","2","2","0","0","0","0","2","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","44","16","0","0","0","0","6","0","66"
"FROM ANOTHER BOARD","83","88","0","0","1","1","41","3","217","8","DUPLICATE","0","2","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","2","0","0","0","0","0","0","2","7","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","83","74","0","0","1","0","85","1","244","28","MOVED OUT OF STATE","7","17","0","0","0","0","3","0","27"
"NVRA BY MAIL","0","0","0","0","0","0","1","0","1","0","OTHER","2","2","0","0","0","0","12","0","16"
"OTHER MEANS","9","8","0","0","0","0","5","0","22","4","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","1","0","1","0","CONFIRMATION MAIL","6","9","1","0","0","0","9","0","25"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","183","182","0","0","2","1","137","4","509","55","TOTAL","82","63","1","0","0","0","39","1","186"
