"NEW REGISTRATION BY PARTY
REMOVALS
Washington","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","1","0","1","3","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","9","8","0","0","0","0","6","0","23","3","COUNTY TRANSFER - OUT","89","84","0","1","0","0","56","2","232"
"DESIGNATED STATE AGENCIES","2","4","0","0","0","0","4","0","10","0","CRIMINAL CONVICTION","6","6","0","0","0","0","1","0","13"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","69","49","0","0","0","0","9","1","128"
"FROM ANOTHER BOARD","111","138","1","0","0","0","72","2","324","8","DUPLICATE","3","0","0","0","0","0","0","0","3"
"PROVISIONAL BALLOT","13","22","0","0","0","0","11","0","46","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","7","0","0","0","0","1","0","10","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","131","146","2","0","3","1","98","4","385","47","MOVED OUT OF STATE","13","20","0","0","0","0","3","2","38"
"NVRA BY MAIL","4","3","0","0","0","0","6","0","13","0","OTHER","3","2","0","0","0","0","1","0","6"
"OTHER MEANS","2","1","0","0","0","0","0","0","3","1","VOTER REQUEST","3","0","0","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","274","329","3","0","3","1","199","6","815","66","TOTAL","187","162","0","1","0","0","70","5","425"
