"NEW REGISTRATION BY PARTY
REMOVALS
Anne Arundel","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","1","0","4","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","169","109","0","1","2","0","109","1","391","0","COUNTY TRANSFER - OUT","478","462","3","0","3","0","277","0","1,223"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","0","4","0","7","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","332","152","1","0","1","0","43","0","529"
"FROM ANOTHER BOARD","213","212","1","0","3","0","106","3","538","0","DUPLICATE","7","7","0","0","0","0","5","0","19"
"PROVISIONAL BALLOT","26","15","0","0","1","0","4","0","46","32","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","53","19","0","0","0","0","7","0","79","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","681","496","7","1","10","1","533","2","1,731","1","MOVED OUT OF STATE","66","67","1","0","0","0","41","0","175"
"NVRA BY MAIL","26","20","0","0","0","0","16","0","62","0","OTHER","2","4","0","0","0","0","3","0","9"
"OTHER MEANS","8","6","1","0","0","0","2","0","17","0","VOTER REQUEST","6","17","0","0","0","0","4","0","27"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"TOTAL","1,181","878","9","2","16","1","783","6","2,876","33","TOTAL","891","709","5","0","4","0","373","0","1,982"
