"NEW REGISTRATION BY PARTY
REMOVALS
Baltimore Co.","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","4","0","0","0","0","1","1","10","0","BOARD ACTION","169","56","5","0","4","0","55","8","297"
"BY MAIL","116","43","4","1","2","0","30","4","200","1","COUNTY TRANSFER-OUT","903","395","3","1","7","0","275","18","1,602"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","0","2","0","5","0","CRIMINAL CONVICTION","53","17","0","0","0","0","14","1","85"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","47","15","0","0","0","0","2","1","65"
"FROM ANOTHER BOARD","871","411","10","1","2","0","309","3","1,607","5","DUPLICATE","41","24","0","0","1","0","13","0","79"
"PROVISIONAL BALLOT","60","16","0","0","1","0","13","0","90","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","48","32","1","0","1","0","12","0","94","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","613","200","4","0","3","1","264","11","1,096","15","MOVED OUT OF STATE","58","45","1","0","0","0","23","1","128"
"NVRA BY MAIL","3","3","0","0","0","0","0","0","6","0","OTHER","26","7","0","0","0","0","13","1","47"
"OTHER MEANS","16","9","0","0","0","0","8","1","34","390","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","251","99","1","0","3","0","56","22","432"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","1,733","719","19","2","9","1","639","20","3,142","416","TOTAL","1,548","658","10","1","15","0","451","52","2,735"
