"NEW REGISTRATION BY PARTY
REMOVALS
Caroline","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","4","5","0","0","0","0","3","0","12","0","COUNTY TRANSFER - OUT","7","11","0","0","0","0","14","0","32"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","24","19","0","0","0","0","1","1","45"
"FROM ANOTHER BOARD","57","66","0","0","0","0","33","0","156","1","DUPLICATE","1","0","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","2","1","0","0","0","0","1","0","4","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","5","1","0","0","0","0","2","0","8","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","24","23","0","0","1","0","25","2","75","0","MOVED OUT OF STATE","0","1","0","0","0","0","0","0","1"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","1","1","0","0","0","0","0","0","2"
"OTHER MEANS","0","0","0","0","0","0","2","0","2","1","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","120","119","0","0","0","0","0","0","239"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","93","96","0","0","1","0","66","2","258","3","TOTAL","154","152","0","0","0","0","16","1","323"
