"NEW REGISTRATION BY PARTY
REMOVALS
Frederick","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","36","45","1","0","0","0","26","0","108","0","COUNTY TRANSFER - OUT","233","300","1","0","0","0","160","0","694"
"DESIGNATED STATE AGENCIES","3","5","0","0","0","0","3","0","11","0","CRIMINAL CONVICTION","4","2","0","0","0","0","1","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","87","86","0","0","0","0","17","0","190"
"FROM ANOTHER BOARD","98","100","0","1","0","0","31","2","232","1","DUPLICATE","1","3","0","0","0","0","1","0","5"
"PROVISIONAL BALLOT","2","0","0","0","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","5","5","0","0","0","0","3","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","111","123","4","0","1","0","125","0","364","4","MOVED OUT OF STATE","19","39","1","0","1","0","23","0","83"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","2","3","1","0","0","0","1","0","7"
"OTHER MEANS","6","3","0","0","0","0","2","0","11","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","261","282","5","1","1","0","190","2","742","5","TOTAL","348","433","3","0","1","0","203","0","988"
