"NEW REGISTRATION BY PARTY
REMOVALS
Charles","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","1","1","0","0","0","0","0","0","2"
"BY MAIL","22","15","0","0","0","0","4","0","41","3","COUNTY TRANSFER - OUT","118","98","0","0","0","1","68","3","288"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","3","0","0","0","0","0","0","3"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","0","1","0","DEATH NOTICE","59","24","0","0","0","0","3","0","86"
"FROM ANOTHER BOARD","22","10","0","0","0","0","15","1","48","13","DUPLICATE","2","0","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","5","0","0","0","0","0","0","0","5","11","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","4","0","1","0","0","0","1","0","6","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","217","81","0","0","1","0","95","12","406","59","MOVED OUT OF STATE","19","19","0","0","0","0","12","2","52"
"NVRA BY MAIL","8","4","0","0","0","0","6","1","19","2","OTHER","2","1","0","0","0","0","1","0","4"
"OTHER MEANS","4","0","0","0","0","0","0","1","5","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","284","111","1","0","1","0","121","15","533","93","TOTAL","201","146","0","0","0","1","84","5","437"
