"NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","22","17","0","0","0","0","4","2","45","9","BOARD ACTION","187","62","5","0","4","0","57","9","324"
"BY MAIL","908","489","8","2","14","0","417","29","1,867","87","COUNTY TRANSFER - OUT","5,003","3,097","35","4","21","1","1,978","120","10,259"
"DESIGNATED STATE AGENCIES","32","19","0","0","0","0","23","0","74","9","CRIMINAL CONVICTION","465","78","2","0","0","0","79","6","630"
"ELDERLY / DISABLED","2","0","0","0","0","0","0","0","2","2","DEATH NOTICE","3,406","1,146","6","0","2","0","320","46","4,926"
"FROM ANOTHER BOARD","2,959","2,051","19","2","18","1","1,349","40","6,439","323","DUPLICATE","224","66","0","0","2","0","42","13","347"
"PROVISIONAL BALLOT","188","75","1","0","4","0","55","0","323","165","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","220","100","4","1","2","0","62","1","390","169","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","4,943","2,482","38","4","55","3","3,227","89","10,841","837","MOVED OUT OF STATE","655","658","5","1","3","0","344","13","1,679"
"NVRA BY MAIL","100","50","1","0","0","0","57","3","211","6","OTHER","639","109","3","0","5","0","227","14","997"
"OTHER MEANS","150","64","5","0","0","0","52","3","274","498","VOTER REQUEST","14","19","0","0","0","0","5","1","39"
"RECRUITING","0","0","0","0","0","0","1","0","1","0","CONFIRMATION MAIL","3,039","3,121","39","0","23","0","1,453","82","7,757"
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","29","9","0","0","0","0","8","0","46","2","","","","","","","","","",""
"TOTAL","9,554","5,356","76","9","93","4","5,255","167","20,514","2,107","TOTAL","13,632","8,356","95","5","60","1","4,505","304","26,958"
