"NEW REGISTRATION BY PARTY
REMOVALS
Montgomery","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","3","0","0","0","0","1","1","12","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","205","78","0","0","4","0","116","6","409","19","COUNTY TRANSFER - OUT","221","138","1","0","1","0","98","2","461"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","0","0","2","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","500","251","2","0","0","0","92","0","845"
"FROM ANOTHER BOARD","265","176","2","0","4","0","175","2","624","3","DUPLICATE","10","2","0","0","0","0","6","0","18"
"PROVISIONAL BALLOT","11","2","0","0","0","0","3","0","16","67","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","29","6","1","1","0","0","18","0","55","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,127","387","8","1","11","0","953","21","2,508","198","MOVED OUT OF STATE","174","100","0","0","1","0","90","2","367"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","24","4","0","0","1","0","24","2","55"
"OTHER MEANS","11","6","1","0","0","0","3","0","21","32","VOTER REQUEST","0","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","301","109","4","0","0","0","120","4","538"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","1,655","661","12","2","19","0","1,269","30","3,648","322","TOTAL","1,230","604","7","0","3","0","431","10","2,285"
