"NEW REGISTRATION BY PARTY
REMOVALS
Carroll","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","9","20","0","0","0","0","3","0","32","1","COUNTY TRANSFER - OUT","111","140","4","0","0","0","79","0","334"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","49","44","0","0","0","0","5","0","98"
"FROM ANOTHER BOARD","222","258","0","0","0","0","125","2","607","1","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","5","4","0","0","0","0","4","0","13","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","70","85","1","0","2","0","65","0","223","27","MOVED OUT OF STATE","10","17","0","1","0","0","2","0","30"
"NVRA BY MAIL","1","0","1","0","0","0","0","0","2","0","OTHER","2","1","0","0","0","0","2","0","5"
"OTHER MEANS","4","5","0","0","0","0","3","0","12","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","867","1,460","17","0","7","0","598","2","2,951"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"TOTAL","312","373","2","0","2","0","201","2","892","32","TOTAL","1,039","1,663","21","1","7","0","686","2","3,419"
