"NEW REGISTRATION BY PARTY
REMOVALS
Prince George's","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","2","0","0","0","0","0","0","4","0","BOARD ACTION","8","1","0","0","0","0","0","1","10"
"BY MAIL","119","20","0","0","1","0","27","3","170","0","COUNTY TRANSFER - OUT","561","155","0","0","0","0","79","66","861"
"DESIGNATED STATE AGENCIES","11","4","0","0","0","0","5","0","20","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","502","108","1","0","0","0","20","34","665"
"FROM ANOTHER BOARD","126","26","0","0","1","0","48","1","202","0","DUPLICATE","132","7","0","0","0","0","7","13","159"
"PROVISIONAL BALLOT","26","3","0","0","1","0","7","0","37","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","0","0","0","0","0","1","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","412","37","2","0","2","0","101","3","557","0","MOVED OUT OF STATE","0","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","1","0","0","0","0","0","0","0","1","0","OTHER","516","61","2","0","3","0","130","9","721"
"OTHER MEANS","29","4","1","0","0","0","6","1","41","0","VOTER REQUEST","0","0","0","0","0","0","0","1","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","29","7","0","0","0","0","7","0","43","0","","","","","","","","","",""
"TOTAL","762","103","3","0","5","0","202","8","1,083","0","TOTAL","1,719","332","3","0","3","0","236","124","2,417"
