"NEW REGISTRATION BY PARTY
REMOVALS
Wicomico","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","12","6","0","0","1","0","7","0","26","0","COUNTY TRANSFER - OUT","11","16","0","0","0","0","11","0","38"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","2","2","0","0","0","0","1","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","38","19","0","0","0","0","5","1","63"
"FROM ANOTHER BOARD","21","17","0","0","0","0","8","0","46","14","DUPLICATE","1","0","0","0","1","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","71","48","0","0","0","0","48","3","170","56","MOVED OUT OF STATE","19","35","0","0","0","0","11","0","65"
"NVRA BY MAIL","2","0","0","0","0","0","4","0","6","0","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","1","0","0","0","0","0","1","0","2","1","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","268","190","2","0","1","0","126","12","599"
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","109","72","0","0","1","0","70","3","255","71","TOTAL","341","262","2","0","2","0","154","13","774"
