"NEW REGISTRATION BY PARTY
REMOVALS
Worcester","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","9","16","0","0","0","0","4","0","29","14","COUNTY TRANSFER - OUT","22","19","1","0","0","0","6","1","49"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","55","16","0","0","0","0","6","2","79"
"FROM ANOTHER BOARD","21","11","1","0","0","0","7","0","40","6","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","3","0","0","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","38","46","0","0","1","0","18","2","105","26","MOVED OUT OF STATE","5","22","0","0","0","0","3","0","30"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","1","5","0","0","0","0","7","0","13"
"OTHER MEANS","2","1","0","0","0","0","0","0","3","2","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","788","683","10","0","8","0","313","31","1,833"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","72","77","1","0","1","0","29","2","182","48","TOTAL","871","745","11","0","8","0","335","34","2,004"
