"NEW REGISTRATION BY PARTY
REMOVALS
Allegany","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","2","5","0","0","0","0","0","0","7","0","COUNTY TRANSFER - OUT","25","29","0","0","0","0","11","2","67"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","52","50","0","0","1","0","4","1","108"
"FROM ANOTHER BOARD","8","16","0","0","0","0","7","0","31","0","DUPLICATE","0","2","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","39","43","0","0","0","0","28","1","111","14","MOVED OUT OF STATE","18","7","0","0","0","0","0","2","27"
"NVRA BY MAIL","6","0","0","0","0","0","0","0","6","0","OTHER","1","3","0","0","0","0","0","0","4"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","10","15","0","0","0","0","5","0","30"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","55","64","0","0","0","0","35","1","155","14","TOTAL","106","107","0","0","1","0","20","5","239"
