"NEW REGISTRATION BY PARTY
REMOVALS
Cecil","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","8","4","0","0","1","0","4","0","17","1","COUNTY TRANSFER - OUT","42","47","0","1","0","0","27","2","119"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","9","8","1","0","0","0","7","0","25"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","32","25","0","0","0","0","11","1","69"
"FROM ANOTHER BOARD","28","29","0","0","0","0","27","0","84","0","DUPLICATE","1","1","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","2","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","102","77","1","0","1","0","62","3","246","58","MOVED OUT OF STATE","5","3","0","0","1","0","2","0","11"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","0","1","0","3"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","139","112","1","0","2","0","93","3","350","60","TOTAL","91","84","1","1","1","0","49","3","230"
