"NEW REGISTRATION BY PARTY
REMOVALS
Baltimore City","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","2","0","0","0","0","0","0","6","1","BOARD ACTION","8","4","0","0","0","0","2","0","14"
"BY MAIL","93","14","2","0","1","0","33","1","144","31","COUNTY TRANSFER - OUT","965","174","7","0","1","0","181","4","1,332"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","1","0","3","0","CRIMINAL CONVICTION","385","33","1","0","0","0","52","5","476"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","0","1","1","DEATH NOTICE","1,202","103","2","0","0","0","60","2","1,369"
"FROM ANOTHER BOARD","311","64","1","0","2","0","90","5","473","87","DUPLICATE","17","4","0","0","0","0","1","0","22"
"PROVISIONAL BALLOT","9","5","0","0","1","0","5","0","20","37","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","32","5","1","0","0","0","7","0","45","152","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","521","124","4","0","5","0","215","9","878","198","MOVED OUT OF STATE","44","8","0","0","0","0","17","1","70"
"NVRA BY MAIL","33","5","0","0","0","0","14","1","53","3","OTHER","37","4","0","0","1","0","9","2","53"
"OTHER MEANS","47","11","1","0","0","0","12","0","71","48","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","0","0","0","0","3"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"TOTAL","1,052","231","9","0","9","0","377","16","1,694","559","TOTAL","2,661","331","10","0","2","0","322","14","3,340"
