"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","9","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","486","78","4","0","2","116","2","688","104","COUNTY TRANSFER - OUT","618","94","1","0","2","156","3","874"
"DESIGNATED STATE AGENCIES","4","0","0","0","0","0","0","4","0","CRIMINAL CONVICTION","41","2","0","0","0","4","0","47"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","3","DEATH NOTICE","245","26","0","0","0","9","0","280"
"FROM ANOTHER BOARD","67","10","0","0","0","4","1","82","6","DUPLICATE","32","4","0","0","0","5","0","41"
"PROVISIONAL BALLOT","0","0","0","0","1","0","0","1","204","MAIL VERIFICATION (NVRA)","156","32","2","0","0","53","2","245"
"IN PERSON","3","0","0","0","0","0","0","3","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","717","131","5","3","4","225","13","1,098","279","MOVED OUT OF STATE","75","23","0","0","2","39","0","139"
"NVRA BY MAIL","3","0","0","0","0","2","0","5","0","OTHER","1","0","0","0","0","1","0","2"
"OTHER MEANS","58","9","1","0","0","11","1","80","39","VOTER REQUEST","1","1","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","150","26","1","0","1","46","0","224"
"SOCIAL SERVICES","10","2","0","0","0","5","0","17","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","1","","","","","","","","",""
"TOTAL","1,350","230","10","3","7","363","17","1,980","651","TOTAL","1,320","208","4","0","5","313","5","1,855"
