"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","53","14","0","0","0","15","2","84","2","COUNTY TRANSFER - OUT","88","33","0","0","1","20","1","143"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","16","0","0","0","3","0","36"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","3","0","DUPLICATE","4","2","0","0","0","2","0","8"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","3","0","0","0","0","1","0","4","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","179","53","2","1","1","58","3","297","47","MOVED OUT OF STATE","9","2","0","0","0","4","0","15"
"NVRA BY MAIL","0","0","0","0","0","2","0","2","2","OTHER","3","1","0","0","0","2","0","6"
"OTHER MEANS","17","6","0","0","0","5","1","29","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","1","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","255","74","2","1","1","82","6","421","53","TOTAL","122","54","0","0","1","31","1","209"
