"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","5","7","0","0","0","5","0","17","380","COUNTY TRANSFER - OUT","16","13","0","0","0","6","0","35"
"DESIGNATED STATE AGENCIES","1","12","0","0","0","5","1","19","11","CRIMINAL CONVICTION","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","2","DEATH NOTICE","12","9","0","0","0","3","0","24"
"FROM ANOTHER BOARD","1","1","0","0","0","0","0","2","3","DUPLICATE","10","2","0","0","0","1","0","13"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","44","35","0","0","1","23","3","106"
"IN PERSON","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","34","29","0","0","0","34","0","97","18","MOVED OUT OF STATE","8","7","0","0","0","3","0","18"
"NVRA BY MAIL","4","1","0","0","0","2","0","7","0","OTHER","0","2","0","0","0","0","0","2"
"OTHER MEANS","6","4","1","0","0","0","0","11","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","356","261","2","0","5","171","12","807"
"SOCIAL SERVICES","3","0","0","0","0","1","0","4","0","","","","","","","","",""
"VOLUNTEER","4","0","0","0","0","0","0","4","0","","","","","","","","",""
"TOTAL","58","54","1","0","0","47","1","161","416","TOTAL","446","329","2","0","6","208","15","1,006"
