"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","1","1","0","0","0","0","0","2"
"BY MAIL","21","18","0","0","0","16","0","55","1","COUNTY TRANSFER - OUT","18","16","0","0","1","11","0","46"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","8","2","1","0","0","3","1","15"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","28","18","0","0","0","2","0","48"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","50","44","0","0","2","20","1","117"
"IN PERSON","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","82","78","0","1","0","84","0","245","0","MOVED OUT OF STATE","52","35","0","0","1","31","2","121"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","48","43","1","0","3","22","2","119"
"SOCIAL SERVICES","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","105","96","0","1","0","100","0","302","1","TOTAL","206","159","2","0","7","90","6","470"
