"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","121","72","0","0","0","71","0","264","60","COUNTY TRANSFER - OUT","43","41","1","0","2","38","2","127"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","2","0","5","0","CRIMINAL CONVICTION","4","1","0","0","0","0","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","25","19","0","0","0","9","0","53"
"FROM ANOTHER BOARD","0","1","0","0","0","1","0","2","0","DUPLICATE","3","2","0","0","0","3","0","8"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","10","12","0","0","0","6","0","28"
"IN PERSON","0","1","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","156","142","1","0","2","144","2","447","56","MOVED OUT OF STATE","7","10","0","0","1","7","0","25"
"NVRA BY MAIL","7","5","1","0","0","5","0","18","0","OTHER","1","2","0","0","0","1","0","4"
"OTHER MEANS","2","2","2","0","0","4","0","10","111","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","2","0","0","0","0","1","0","3","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","290","224","4","0","2","228","2","750","229","TOTAL","95","87","1","0","3","64","2","252"
