"Kent","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","11","3","0","0","0","6","0","20","0","COUNTY TRANSFER - OUT","5","4","0","0","0","3","1","13"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","2","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","4","0","0","0","0","1","0","5"
"IN PERSON","0","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6","3","0","0","1","7","0","17","3","MOVED OUT OF STATE","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","1","0","0","0","0","1","1","3","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","0","1","0","0","0","0","0","1","","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","2","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","18","8","0","0","1","16","1","44","3","TOTAL","11","7","0","0","0","5","1","24"
