"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","5","3","0","0","0","2","0","10","1","COUNTY TRANSFER - OUT","10","5","1","0","1","3","0","20"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","6","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","13","7","0","0","0","0","0","20"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","46","31","0","0","1","23","0","101"
"IN PERSON","0","1","0","0","0","1","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","18","17","0","0","1","12","0","48","5","MOVED OUT OF STATE","1","0","0","0","0","0","0","1"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","1","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","23","21","0","0","1","16","0","61","12","TOTAL","71","44","1","0","2","26","0","144"
