"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","7","16","1","0","1","7","0","32","47","COUNTY TRANSFER - OUT","53","26","0","0","2","20","1","102"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","1","0","2","6","CRIMINAL CONVICTION","0","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","21","14","0","0","0","4","0","39"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","1","DUPLICATE","1","3","0","0","0","1","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","111","115","2","0","0","71","216","515"
"IN PERSON","0","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","46","54","0","0","2","37","1","140","54","MOVED OUT OF STATE","7","13","0","0","0","2","2","24"
"NVRA BY MAIL","7","1","0","0","0","4","1","13","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","35","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","5","0","5","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","61","72","1","0","3","55","2","194","144","TOTAL","193","172","2","0","2","98","219","686"
