"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","27","9","1","0","0","14","0","51","8","COUNTY TRANSFER - OUT","21","16","0","0","0","15","0","52"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","2","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","1","0","1","0","DEATH NOTICE","2","1","0","0","0","0","0","3"
"FROM ANOTHER BOARD","3","2","0","0","0","0","0","5","1","DUPLICATE","0","0","0","0","0","0","1","1"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","121","86","1","0","0","46","2","256"
"IN PERSON","4","1","0","0","0","1","0","6","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","75","46","1","0","1","52","3","178","33","MOVED OUT OF STATE","6","6","0","0","0","7","0","19"
"NVRA BY MAIL","1","1","0","0","0","0","0","2","0","OTHER","3","1","0","0","0","2","0","6"
"OTHER MEANS","3","3","0","0","0","4","0","10","2","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","1","0","3"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","20","25","1","0","2","34","0","82","0","","","","","","","","",""
"TOTAL","136","87","3","0","3","106","3","338","48","TOTAL","156","111","1","0","0","73","3","344"
