"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","2","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","150","90","3","0","3","2","53","5","306","5","COUNTY TRANSFER - OUT","91","79","1","0","1","0","34","1","207"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","8","1","0","0","0","0","3","0","12"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","71","35","0","0","0","0","3","0","109"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","8","7","0","0","0","0","5","1","21","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","179","145","6","1","3","7","114","1","456","8","MOVED OUT OF STATE","125","146","0","0","0","0","68","2","341"
"NVRA BY MAIL","4","4","0","0","0","0","4","0","12","0","OTHER","2","1","0","0","0","0","3","0","6"
"OTHER MEANS","5","3","0","0","0","0","5","0","13","0","VOTER REQUEST","2","1","0","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","114","75","0","0","3","4","55","1","252"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","346","250","9","1","6","9","183","7","811","14","TOTAL","413","339","1","0","4","4","166","4","931"
