"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","12","12","0","0","0","0","11","0","35","2","COUNTY TRANSFER - OUT","19","26","0","0","0","0","13","2","60"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","1","1","0","0","0","0","0","0","2","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","3","3","0","0","0","0","0","0","6","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","23","20","1","0","0","0","17","0","61","3","MOVED OUT OF STATE","1","8","0","0","0","0","3","0","12"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","2","1","0","0","0","0","0","0","3"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","3","0","0","0","0","0","0","5"
"SOCIAL SERVICES","3","0","0","0","0","0","2","0","5","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","42","36","1","0","0","0","30","0","109","6","TOTAL","25","39","0","0","0","0","16","2","82"
