"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","6","0","0","0","0","3","0","15","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","177","63","0","0","7","0","72","1","320","113","COUNTY TRANSFER - OUT","181","74","1","0","2","0","75","3","336"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","2","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","12","1","0","0","0","0","2","0","15","5","DEATH NOTICE","10","3","0","0","1","0","0","0","14"
"FROM ANOTHER BOARD","2","2","0","0","0","0","0","0","4","5","DUPLICATE","2","0","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","3","1","0","0","0","0","0","0","4","310","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","24","1","0","0","0","0","5","2","32","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","349","117","1","0","3","5","272","11","758","303","MOVED OUT OF STATE","19","9","1","0","0","0","4","0","33"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","5","2","0","0","0","0","2","0","9"
"OTHER MEANS","30","7","0","0","0","0","15","","52","1,488","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","423","110","1","0","7","4","135","2","682"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","4","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"TOTAL","604","198","1","0","10","5","371","14","1,203","2,235","TOTAL","640","198","3","0","10","4","216","5","1,076"
