"NEW REGISTRATION BY PARTY
REMOVALS
Allegany","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","9","5","0","0","0","0","3","0","17","6","COUNTY TRANSFER - OUT","9","10","1","0","0","0","3","0","23"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","1","0","0","0","0","1","0","3"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","2","6","0","0","0","0","0","0","8","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","1","0","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","33","27","1","0","0","0","25","0","86","11","MOVED OUT OF STATE","0","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","3","0","0","0","0","0","1","0","4","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","50","39","1","0","0","0","29","0","119","17","TOTAL","10","11","1","0","0","0","5","0","27"
