"NEW REGISTRATION BY PARTY
REMOVALS
Worcester","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","30","36","0","0","0","0","16","0","82","14","COUNTY TRANSFER - OUT","26","26","1","0","0","0","7","1","61"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","0","1"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","8","8","0","0","0","0","0","0","16"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","3","3","0","0","0","0","0","0","6"
"PROVISIONAL BALLOT","1","3","0","0","0","0","0","0","4","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","7","0","0","0","0","1","0","15","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","31","33","1","0","0","0","18","0","83","13","MOVED OUT OF STATE","9","3","0","0","0","0","4","0","16"
"NVRA BY MAIL","3","1","1","0","0","0","1","0","6","0","OTHER","9","7","0","0","0","0","2","0","18"
"OTHER MEANS","4","2","1","0","0","0","0","0","7","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","77","82","3","0","0","0","36","0","198","33","TOTAL","55","48","1","0","0","0","13","1","118"
