"NEW REGISTRATION BY PARTY
REMOVALS
Prince George's","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","14","1","0","0","0","0","1","0","16","2","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","376","44","1","0","1","1","94","6","523","0","COUNTY TRANSFER - OUT","563","128","2","1","0","0","42","42","778"
"DESIGNATED STATE AGENCIES","34","7","0","0","0","0","14","0","55","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","1","0","0","0","0","0","0","1","0","DEATH NOTICE","3","5","0","0","0","0","0","0","8"
"FROM ANOTHER BOARD","478","95","3","0","0","0","134","5","715","0","DUPLICATE","22","4","0","0","0","0","3","1","30"
"PROVISIONAL BALLOT","238","19","1","0","1","0","17","3","279","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","17","4","1","0","0","0","3","1","26","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","520","61","2","1","3","0","192","13","792","0","MOVED OUT OF STATE","116","56","2","1","1","0","16","14","206"
"NVRA BY MAIL","11","1","0","0","0","0","1","0","13","0","OTHER","6","0","0","0","0","0","0","1","7"
"OTHER MEANS","115","12","1","0","0","0","31","3","162","","VOTER REQUEST","5","0","0","0","0","0","1","0","6"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","2","0","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","60","9","0","0","2","0","27","1","99","0","","","","","","","","","",""
"TOTAL","1,863","254","9","1","7","1","514","32","2,681","2","TOTAL","716","195","4","2","1","0","62","58","1,038"
