"NEW REGISTRATION BY PARTY
REMOVALS
Howard","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","199","111","4","0","2","0","93","6","415","21","COUNTY TRANSFER - OUT","217","143","1","0","0","0","61","0","422"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","1","0","3","0","CRIMINAL CONVICTION","14","3","0","0","0","0","11","1","29"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","4","2","0","0","0","0","0","0","6"
"FROM ANOTHER BOARD","23","7","0","0","0","0","7","0","37","5","DUPLICATE","2","1","1","0","0","0","2","0","6"
"PROVISIONAL BALLOT","146","37","0","0","0","0","9","0","192","33","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","4","1","0","0","0","0","1","0","6","12","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","198","111","1","0","1","0","149","10","470","39","MOVED OUT OF STATE","7","8","1","0","0","0","8","0","24"
"NVRA BY MAIL","7","2","0","0","0","0","3","0","12","0","OTHER","5","1","0","0","0","0","1","0","7"
"OTHER MEANS","3","1","0","0","0","0","0","0","4","5","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","214","180","4","0","1","0","102","7","508"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","2","0","3","0","","","","","","","","","",""
"TOTAL","582","271","5","0","3","0","265","16","1,142","116","TOTAL","463","338","7","0","1","0","185","8","1,002"
