"NEW REGISTRATION BY PARTY
REMOVALS
Cecil","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","2","0","0","0","0","1","0","3","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","10","12","0","0","0","0","5","0","27","2","COUNTY TRANSFER - OUT","17","17","0","0","0","0","4","0","38"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","3","0","0","0","0","1","0","4"
"FROM ANOTHER BOARD","4","2","0","0","0","0","0","0","6","0","DUPLICATE","1","1","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","5","8","0","0","0","0","0","0","13","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","56","56","1","0","0","0","60","0","173","20","MOVED OUT OF STATE","0","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","75","80","1","0","0","0","66","0","222","23","TOTAL","18","21","0","0","0","0","6","0","45"
