"NEW REGISTRATION BY PARTY
REMOVALS
Frederick","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","5","0","7","2","BOARD ACTION","4","2","0","0","0","0","0","0","6"
"BY MAIL","67","59","1","1","0","0","34","0","162","1","COUNTY TRANSFER - OUT","62","59","0","0","0","0","22","0","143"
"DESIGNATED STATE AGENCIES","1","2","0","0","0","0","1","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","13","0","0","0","0","0","0","20"
"FROM ANOTHER BOARD","11","4","0","0","1","0","4","0","20","0","DUPLICATE","3","0","0","0","0","0","1","0","4"
"PROVISIONAL BALLOT","37","27","1","0","0","0","6","0","71","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","5","5","0","0","0","0","0","0","10","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","67","89","1","0","1","0","69","0","227","14","MOVED OUT OF STATE","0","1","0","0","0","0","1","0","2"
"NVRA BY MAIL","0","1","0","0","0","0","0","0","1","0","OTHER","1","0","0","0","0","0","1","0","2"
"OTHER MEANS","3","1","0","0","0","0","0","0","4","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","8","9","0","0","1","0","3","0","21","0","","","","","","","","","",""
"TOTAL","200","198","3","1","3","0","122","0","527","18","TOTAL","77","76","0","0","0","0","25","0","178"
