"NEW REGISTRATION BY PARTY
REMOVALS
Carroll","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","2","0","3","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","55","91","1","0","0","0","27","0","174","0","COUNTY TRANSFER - OUT","64","54","1","0","0","0","16","0","135"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","35","26","0","0","0","0","3","0","64"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","30","32","0","0","0","0","1","0","63","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","7","0","0","0","0","1","0","9","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","39","57","1","0","1","0","35","0","133","1","MOVED OUT OF STATE","12","18","2","0","0","0","6","0","38"
"NVRA BY MAIL","4","5","0","0","1","0","2","0","12","0","OTHER","0","0","0","0","0","0","3","0","3"
"OTHER MEANS","2","1","0","0","0","0","2","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","2","0","0","0","0","0","0","2"
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"TOTAL","134","193","2","0","2","0","71","0","402","1","TOTAL","111","100","3","0","0","0","28","0","242"
