"NEW REGISTRATION BY PARTY
REMOVALS
Dorchester","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","1","0","0","0","0","0","0","9","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","7","12","0","0","0","0","3","0","22","0","COUNTY TRANSFER - OUT","21","7","0","0","0","0","4","0","32"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","1","0","0","0","0","0","0","7"
"FROM ANOTHER BOARD","1","1","0","0","0","0","0","0","2","0","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","8","2","0","0","0","0","0","0","10","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","8","7","0","0","1","0","7","0","23","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","9","0","0","0","0","10","0","36","6","MOVED OUT OF STATE","0","2","0","0","0","0","0","0","2"
"NVRA BY MAIL","0","1","0","0","0","0","1","0","2","2","OTHER","1","1","0","0","0","0","0","0","2"
"OTHER MEANS","6","2","0","0","0","0","0","0","8","0","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","11","16","0","0","0","0","5","1","33"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","3","1","0","0","0","0","1","0","5","0","","","","","","","","","",""
"TOTAL","58","36","0","0","1","0","22","0","117","9","TOTAL","39","29","0","0","0","0","9","1","78"
