"NEW REGISTRATION BY PARTY
REMOVALS
Washington","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","4","0","0","0","0","1","0","6","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","24","32","0","0","0","0","18","0","74","1","COUNTY TRANSFER - OUT","20","16","0","0","0","0","5","0","41"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","28","21","0","0","0","0","4","1","54"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","25","11","0","0","0","0","0","0","36","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","4","6","0","0","0","0","3","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","44","49","1","0","1","0","49","0","144","20","MOVED OUT OF STATE","12","14","0","0","0","0","5","1","32"
"NVRA BY MAIL","2","1","0","0","0","0","3","0","6","0","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","1","1","0","0","0","0","2","0","4","0","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","2","1","0","0","0","0","0","0","3","0","","","","","","","","","",""
"TOTAL","104","106","1","0","1","0","76","0","288","21","TOTAL","63","51","0","0","0","0","14","2","130"
