"NEW REGISTRATION BY PARTY
REMOVALS
Anne Arundel","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","2","0","0","1","0","1","0","7","0","BOARD ACTION","0","1","0","0","0","0","0","0","1"
"BY MAIL","274","205","0","0","5","0","124","0","608","0","COUNTY TRANSFER - OUT","270","157","1","0","0","0","84","0","512"
"DESIGNATED STATE AGENCIES","2","2","1","0","0","0","5","0","10","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","1","0","0","0","0","0","1","0","2","0","DEATH NOTICE","62","31","0","0","0","0","2","0","95"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","155","62","0","0","0","0","0","0","217","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","18","18","0","0","0","0","9","0","45","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","352","269","6","0","2","2","334","0","965","0","MOVED OUT OF STATE","10","19","0","0","0","0","12","0","41"
"NVRA BY MAIL","23","15","0","0","1","0","21","0","60","0","OTHER","1","0","0","0","0","0","3","0","4"
"OTHER MEANS","2","1","0","0","0","0","0","0","3","0","VOTER REQUEST","3","6","0","0","0","0","3","0","12"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","7","10","0","0","0","0","12","0","29","0","","","","","","","","","",""
"TOTAL","837","584","7","0","9","2","507","0","1,946","0","TOTAL","346","214","1","0","0","0","104","0","665"
