"NEW REGISTRATION BY PARTY
REMOVALS
Montgomery","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","33","4","0","0","0","0","9","0","46","9","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","495","116","8","0","2","0","304","3","928","13","COUNTY TRANSFER - OUT","408","149","5","0","0","0","102","0","664"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","4","0","0","0","0","0","0","0","4","1","DEATH NOTICE","0","1","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","4","2","0","0","0","0","2","0","8"
"PROVISIONAL BALLOT","5","1","0","0","0","0","1","0","7","5","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","12","3","0","0","0","0","3","0","18","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","782","274","5","1","10","0","543","19","1,634","108","MOVED OUT OF STATE","7","2","1","0","0","0","2","0","12"
"NVRA BY MAIL","13","9","0","0","0","0","11","0","33","1","OTHER","12","2","0","0","0","0","13","0","27"
"OTHER MEANS","27","5","1","0","0","0","2","0","35","32","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","179","106","1","0","1","0","102","0","389"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","27","4","0","0","0","0","4","0","35","0","","","","","","","","","",""
"TOTAL","1,398","416","14","1","12","0","877","22","2,740","170","TOTAL","610","262","7","0","1","0","221","0","1,101"
