"NEW REGISTRATION BY PARTY
REMOVALS
Somerset","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","1","3","0","0","0","0","1","0","5","0","COUNTY TRANSFER - OUT","11","5","0","0","0","0","1","0","17"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","4","1","0","0","0","0","1","0","6"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","5","1","0","0","0","0","0","0","6"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","3","1","0","0","0","0","0","0","4"
"PROVISIONAL BALLOT","6","1","0","0","0","0","0","0","7","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","3","0","0","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","16","19","0","0","0","0","7","0","42","0","MOVED OUT OF STATE","4","1","0","0","0","0","2","0","7"
"NVRA BY MAIL","21","4","0","0","0","0","3","0","28","0","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","3","2","0","0","0","0","3","0","8","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","1","0","0","0","0","0","1","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","48","32","0","0","0","0","14","0","94","0","TOTAL","31","10","0","0","0","0","4","1","46"
