"NEW REGISTRATION BY PARTY
REMOVALS
Talbot","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","4","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","5","7","0","0","0","0","2","0","14","3","COUNTY TRANSFER - OUT","28","32","0","0","0","0","9","2","71"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2","8","0","0","0","0","0","0","10"
"FROM ANOTHER BOARD","4","6","0","0","0","0","0","0","10","0","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","12","9","0","0","0","0","8","1","30","4","MOVED OUT OF STATE","4","6","0","0","0","0","2","1","13"
"NVRA BY MAIL","0","0","0","0","0","0","1","0","1","0","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","6","10","0","0","0","0","0","","16","49","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","27","32","0","0","0","0","11","1","71","60","TOTAL","35","47","0","0","0","0","11","3","96"
