"NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","114","23","0","0","1","0","37","0","175","76","BOARD ACTION","10","3","0","0","0","0","0","0","13"
"BY MAIL","2,616","1,241","29","2","21","2","1,102","32","5,045","163","COUNTY TRANSFER - OUT","3,150","1,351","24","2","6","0","626","62","5,221"
"DESIGNATED STATE AGENCIES","43","12","1","0","0","0","21","0","77","0","CRIMINAL CONVICTION","22","5","0","0","0","0","14","1","42"
"SOCIAL SECURITY","6","2","0","0","0","0","1","0","9","10","DEATH NOTICE","238","158","0","0","0","0","17","1","414"
"FROM ANOTHER BOARD","526","119","3","0","1","0","146","5","800","6","DUPLICATE","49","16","1","0","0","0","10","1","77"
"PROVISIONAL BALLOT","1,667","414","2","0","2","0","63","7","2,155","242","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","139","87","1","0","1","0","38","1","267","41","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","3,204","1,616","25","2","31","3","2,009","67","6,957","384","MOVED OUT OF STATE","313","253","7","1","3","0","120","20","717"
"NVRA BY MAIL","178","95","2","0","2","0","77","1","355","9","OTHER","56","13","0","0","0","0","24","1","94"
"OTHER MEANS","240","80","3","0","0","0","59","7","389","677","VOTER REQUEST","14","7","0","0","0","0","4","0","25"
"RECRUITING","3","0","0","0","0","0","0","0","3","0","CONFIRMATION MAIL","470","360","5","0","2","0","222","10","1,069"
"SOCIAL SERVICES","2","0","0","0","0","0","0","0","2","1","","","","","","","","","",""
"VOLUNTEER","148","62","2","0","4","0","71","1","288","0","","","","","","","","","",""
"TOTAL","8,886","3,751","68","4","63","5","3,624","121","16,522","1,609","TOTAL","4,322","2,166","37","3","11","0","1,037","96","7,672"
