"NEW REGISTRATION BY PARTY
REMOVALS
Baltimore City","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","16","3","0","0","0","0","3","0","22","6","BOARD ACTION","4","0","0","0","0","0","0","0","4"
"BY MAIL","267","45","4","0","2","1","70","2","391","42","COUNTY TRANSFER - OUT","558","115","7","1","2","0","82","2","767"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","1","0","1"
"SOCIAL SECURITY","1","0","0","0","0","0","0","0","1","2","DEATH NOTICE","0","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","2","1","0","0","0","0","1","0","4","0","DUPLICATE","6","0","0","0","0","0","0","0","6"
"PROVISIONAL BALLOT","362","17","0","0","1","0","17","0","397","66","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","14","4","0","0","0","0","2","0","20","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","272","65","1","0","0","0","94","3","435","43","MOVED OUT OF STATE","1","0","0","0","0","0","1","0","2"
"NVRA BY MAIL","2","0","0","0","0","0","0","0","2","1","OTHER","10","1","0","0","0","0","1","0","12"
"OTHER MEANS","17","4","0","0","0","0","4","0","25","12","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","36","12","2","0","1","0","15","0","66","0","","","","","","","","","",""
"TOTAL","991","151","7","0","4","1","206","5","1,365","175","TOTAL","579","116","7","1","2","0","85","2","792"
