"NEW REGISTRATION BY PARTY
REMOVALS
Charles","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","1","0","3","10","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","62","33","0","0","1","0","34","1","131","6","COUNTY TRANSFER - OUT","84","36","0","0","0","0","21","0","141"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","0","0","0","0","1","0","3"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","16","11","0","0","0","0","2","0","29"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","0","3","0","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","65","15","0","0","0","0","1","0","81","108","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","12","2","0","0","0","0","4","0","18","15","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","165","66","1","0","0","0","97","5","334","56","MOVED OUT OF STATE","30","36","0","0","0","0","14","0","80"
"NVRA BY MAIL","17","9","1","0","0","0","6","0","33","3","OTHER","1","1","0","0","0","0","0","0","2"
"OTHER MEANS","1","0","0","0","0","0","1","0","2","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","6","0","0","0","0","1","0","8","0","","","","","","","","","",""
"TOTAL","326","134","2","0","1","0","145","6","614","202","TOTAL","134","84","0","0","0","0","38","0","256"
