"NEW REGISTRATION BY PARTY
REMOVALS
St. Mary's","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","16","12","0","0","0","0","7","0","35","0","COUNTY TRANSFER - OUT","17","19","0","0","0","0","6","1","43"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","15","11","0","0","0","0","0","0","26","6","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","10","13","0","0","0","0","5","0","28","8","MOVED OUT OF STATE","4","2","0","0","0","0","1","0","7"
"NVRA BY MAIL","9","1","0","0","0","0","4","1","15","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","3","0","0","0","0","1","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","1","0","0","0","0","0","0","0","1","0","CONFIRMATION MAIL","1","3","0","0","0","0","0","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","52","41","0","0","0","0","17","1","111","15","TOTAL","23","24","0","0","0","0","7","1","55"
