"NEW REGISTRATION BY PARTY
REMOVALS
Baltimore Co.","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","34","3","0","0","0","0","11","0","48","40","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","571","257","8","0","7","0","212","11","1,066","49","COUNTY TRANSFER-OUT","578","232","2","0","1","0","96","11","920"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","0","1"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","5","DEATH NOTICE","1","2","0","0","0","0","0","0","3"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","0","3","1","DUPLICATE","2","0","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","425","62","0","0","0","0","5","1","493","20","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","17","8","0","0","0","0","3","0","28","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","387","191","2","0","6","1","205","7","799","23","MOVED OUT OF STATE","57","42","1","0","1","0","24","2","127"
"NVRA BY MAIL","46","28","0","0","0","0","14","0","88","0","OTHER","6","0","0","0","0","0","0","0","6"
"OTHER MEANS","25","10","0","0","0","0","6","2","43","569","VOTER REQUEST","3","0","0","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","40","12","0","0","0","0","8","1","61"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","2","5","0","0","0","0","5","0","12","0","","","","","","","","","",""
"TOTAL","1,510","565","10","0","13","1","461","21","2,581","709","TOTAL","689","288","3","0","2","0","128","14","1,124"
