"NEW REGISTRATION BY PARTY
REMOVALS
Calvert","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","26","22","0","0","0","0","11","1","60","0","COUNTY TRANSFER - OUT","32","12","1","0","0","0","16","0","61"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"SOCIAL SECURITY","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","9","2","0","0","0","0","0","0","11"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","25","21","0","0","0","0","0","1","47","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","1","0","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","11","9","0","0","1","0","4","1","26","8","MOVED OUT OF STATE","31","33","0","0","1","0","15","2","82"
"NVRA BY MAIL","0","2","0","0","0","0","3","0","5","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","1","0","0","0","0","0","0","2","4","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","0","0","0","0","0","1","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","66","57","0","0","1","0","19","3","146","12","TOTAL","76","47","1","0","1","0","32","2","159"
