"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","2","0","0","0","0","2","1","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","254","50","3","77","7","391","83","CONFIRMATION MAIL","2","1","0","2","0","5"
"DESIGNATED STATE AGENCIES","","193","46","2","139","18","398","17","COUNTY TRANSFER - OUT","5,910","1,839","68","2,253","161","10,231"
"ELDERLY / DISABLED / SOC SEC","","117","31","0","90","11","249","0","CRIMINAL CONVICTION","138","20","3","38","12","211"
"ERIC REPORT","","2309","689","18","808","63","3,887","1","DEATH NOTICE","1,614","817","2","348","30","2,811"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","63","25","1","16","1","106"
"PROVISIONAL BALLOT","","1","1","0","0","0","2","0","MAIL VERIFICATION (NVRA)","6,546","2,881","90","3,133","210","12,860"
"IN PERSON","","7","1","0","8","1","17","2","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","8202","2896","142","6365","290","17,895","286","MOVED OUT OF STATE","255","195","7","127","3","587"
"NVRA BY MAIL","","3","4","1","2","0","10","1","OTHER","83","26","0","41","4","154"
"ONLINE REGISTRATION","","209","59","5","123","6","402","0","VOTER REQUEST","17","9","1","16","1","44"
"OTHER MEANS","","25","8","0","26","0","59","14","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","1","0","1","1","0","3","0","","","","","","",""
"VOLUNTEER","","9","4","0","6","0","19","0","","","","","","",""
"TOTAL","","11,332","3,789","172","7,645","396","23,334","405","TOTAL","14,628","5,813","172","5,974","422","27,009"
