"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","77","41","1","0","1","41","1","162","7","COUNTY TRANSFER - OUT","153","122","0","0","4","68","3","350"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","13","0","0","0","3","0","33"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","3","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","22","19","1","0","1","15","0","58"
"IN PERSON","5","5","0","0","0","2","0","12","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","108","95","2","1","5","74","1","286","31","MOVED OUT OF STATE","30","40","0","0","1","21","0","92"
"NVRA BY MAIL","2","3","0","0","0","1","0","6","0","OTHER","2","1","0","0","0","1","0","4"
"OTHER MEANS","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","130","73","0","1","1","68","6","279"
"SOCIAL SERVICES","0","0","0","0","0","2","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","195","146","3","1","6","120","2","473","38","TOTAL","354","268","1","1","7","176","9","816"
